Year,Day_start,Day_end,Ca_ppm
2000,147,263,369.71
2001,141,263,371.32
2002,145,267,373.45
2003,147,259,375.98
2004,146,260,377.7
2005,148,262,379.98
2006,145,266,382.09
2007,142,268,384.02
2008,143,272,385.83
2009,144,267,387.64
2010,144,275,390.1
2011,147,259,391.85
2012,144,261,394.06
2013,148,266,396.74
2014,147,263,398.81
2015,141,263,401.01
2016,145,267,404.41
2017,147,259,406.76
2018,146,260,408.72
2019,148,262,411.66
2020,141,263,414.24
2021,145,267,416.45
2022,147,259,418.56